
         0       4.68       5.83          5       5.42       5.74       5.77 
         1        4.9       6.02       5.14       5.54       5.86       5.88 
         2       5.23       6.28       5.34       5.73       6.02       6.02 
         3       5.64       6.62       5.61       5.96       6.23        6.2 
         4       6.21       7.06       5.96       6.26       6.49       6.42 
